Name,html_code,rgb_code,shades,
lightsalmon,#FFA07A,rgb(255 160 122),Red,
salmon,#FA8072,rgb(250 128 114),Red,
darksalmon,#E9967A,rgb(233 150 122),Red,
lightcoral,#F08080,rgb(240 128 128),Red,
indianred,#CD5C5C,rgb(205 92 92),Red,
crimson,#DC143C,rgb(220 20 60),Red,
firebrick,#B22222,rgb(178 34 34),Red,
red,#FF0000,rgb(255 0 0),Red,
darkred,#8B0000,rgb(139 0 0),Red,
coral,#FF7F50,rgb(255 127 80),Orange,
tomato,#FF6347,rgb(255 99 71),Orange,
orangered,#FF4500,rgb(255 69 0),Orange,
gold,#FFD700,rgb(255 215 0),Orange,
orange,#FFA500,rgb(255 165 0),Orange,
darkorange,#FF8C00,rgb(255 140 0),Orange,
lightyellow,#FFFFE0,rgb(255 255 224),Yellow,
lemonchiffon,#FFFACD,rgb(255 250 205),Yellow,
papayawhip,#FFEFD5,rgb(255 239 213),Yellow,
moccasin,#FFE4B5,rgb(255 228 181),Yellow,
peachpuff,#FFDAB9,rgb(255 218 185),Yellow,
palegoldenrod,#EEE8AA,rgb(238 232 170),Yellow,
khaki,#F0E68C,rgb(240 230 140),Yellow,
darkkhaki,#BDB76B,rgb(189 183 107),Yellow,
yellow,#FFFF00,rgb(255 255 0),Yellow,
lawngreen,#7CFC00,rgb(124 252 0),Green,
limegreen,#32CD32,rgb(50 205 50),Green,
lime,#00FF00,rgb(0 255 0),Green,
forestgreen,#228B22,rgb(34 139 34),Green,
darkgreen,#006400,rgb(0 100 0),Green,
springgreen,#00FF7F,rgb(0 255 127),Green,
mediumspringgreen,#00FA9A,rgb(0 250 154),Green,
palegreen,#98FB98,rgb(152 251 152),Green,
seagreen,#2E8B57,rgb(46 139 87),Green,
powderblue,#B0E0E6,rgb(176 224 230),Blue,
lightskyblue,#87CEFA,rgb(135 206 250),Blue,
skyblue,#87CEEB,rgb(135 206 235),Blue,
deepskyblue,#00BFFF,rgb(0 191 255),Blue,
dodgerblue,#1E90FF,rgb(30 144 255),Blue,
cornflowerblue,#6495ED,rgb(100 149 237),Blue,
steelblue,#4682B4,rgb(70 130 180),Blue,
royalblue,#4169E1,rgb(65 105 225),Blue,
mediumblue,#0000CD,rgb(0 0 205),Blue,
snow,#FFFAFA,rgb(255 250 250),White,
honeydew,#F0FFF0,rgb(240 255 240),White,
azure,#F0FFFF,rgb(240 255 255),White,
ghostwhite,#F8F8FF,rgb(248 248 255),White,
whitesmoke,#F5F5F5,rgb(245 245 245),White,
mintcream,#F5FFFA,rgb(245 255 250),White,
ivory,#FFFFF0,rgb(255 255 240),White,
floralwhite,#FFFAF0,rgb(255 250 240),White,
antiquewhite,#FAEBD7,rgb(250 235 215),White,
blanchedalmond,#FFEBCD,rgb(255 235 205),Brown,
bisque,#FFE4C4,rgb(255 228 196),Brown,
wheat,#F5DEB3,rgb(245 222 179),Brown,
burlywood,#DEB887,rgb(222 184 135),Brown,
tan,#D2B48C,rgb(210 180 140),Brown,
rosybrown,#BC8F8F,rgb(188 143 143),Brown,
sandybrown,#F4A460,rgb(244 164 96),Brown,
chocolate,#D2691E,rgb(210 105 30),Brown,
saddlebrown,#8B4513,rgb(139 69 19),Brown,
sienna,#A0522D,rgb(160 82 45),Brown,
brown,#A52A2A,rgb(165 42 42),Brown,