first,second,h,m,fullform,
GMT,GMT,0,0,Greenwich Mean Time,
GMT,UTC,0,0,Universal Coordinated Time,
GMT,ECT,1,0,European Central Time,
GMT,EET,2,0,Eastern European Time,
GMT,ART,1,0,(Arabic) Egypt Standard Time,
GMT,EAT,3,0,Eastern African Time,
GMT,MET,3,30,Middle East Time,
GMT,NET,4,0,Near East Time,
GMT,PLT,5,0,Pakistan Lahore Time,
GMT,IST,5,30,India Standard Time,
GMT,BST,6,0,Bangladesh Standard Time,
GMT,VST,7,0,Vietnam Standard Time,
GMT,CTT,8,0,China Taiwan Time,
GMT,JST,9,0,Japan Standard Time,
GMT,ACT,9,30,Australia Central Time,
GMT,AET,10,0,Australia Eastern Time,
GMT,SST,11,0,Solomon Standard Time,
GMT,NST,12,0,New Zealand Standard Time,
GMT,MIT,-11,0,Midway Islands Time,
GMT,HST,-10,0,Hawaii Standard Time,
GMT,AST,-9,0,Alaska Standard Time,
GMT,PST,-8,0,Pacific Standard Time,
GMT,PNT,-7,0,Phoenix Standard Time,
GMT,MST,-7,0,Mountain Standard Time,
GMT,CST,-6,0,Central Standard Time,
GMT,EST,-5,0,Eastern Standard Time,
GMT,IET,-5,0,Indiana Eastern Standard Time,
GMT,PRT,-4,0,Puerto Rico and US Virgin Islands Time,
GMT,CNT,-3,-30,Canada Newfoundland Time,
GMT,AGT,-3,0,Argentina Standard Time,
GMT,BET,-3,0,Brazil Eastern Time,
GMT,CAT,-1,0,Central African Time,